injection_id,M_c,q,s1_mag,s1_theta,s1_phi,s2_mag,s2_theta,s2_phi,iota,lambda_1,lambda_2,ra,dec,psi,d_L
71,0.5733952971270255,0.31117158464091066,0.19713810288409245,0.05501009799771223,0.8182504142064648,0.48620379264846936,0.5183479302398011,0.8580303757064965,0.05041007848119376,0.2321416853551617,0.9046526649896471,0.16275214016963085,0.7600662227170457,0.6579231465714235,0.6132527808204141
72,0.8430824246319015,0.09433091965953956,0.6720680192904087,0.06777522198219761,0.03370147098725768,0.607388264534147,0.2220545980537138,0.9635048092292477,0.36442778338952964,0.011048834201991766,0.9687856385261695,0.21065151107953295,0.5365652136755447,0.9941347154444549,0.6126708290373097
73,0.4257124562583631,0.33613902262402956,0.022888522155327794,0.9185628595875533,0.6876106253401544,0.882216871559355,0.4575645357963928,0.21970711151027553,0.010728138606057609,0.3874959516469022,0.578623377700033,0.3320770820185451,0.55059844546429,0.9397660665967672,0.9602486441835897
74,0.10627032986327198,0.08510226429097105,0.8894383069530304,0.4622192336938951,0.7209723397852156,0.1861714719045155,0.2620250819242234,0.39174276270795005,0.5938114223177114,0.3986741637188672,0.9170430050282165,0.2880171127405314,0.0060574344716644,0.26250837383099346,0.28716457615827584
75,0.1085295330077996,0.02160917086971954,0.438007985218098,0.5637245028343056,0.2696957605768961,0.5750108610721597,0.5461251341882059,0.6952834802786877,0.270118547777106,0.11905763104482257,0.9653926430079818,0.7440107416477697,0.17875338686033646,0.9462012692542898,0.8456762140194315
76,0.0743427514240226,0.6753639957711866,0.014027502645594724,0.8396149950753213,0.33791168192474724,0.7192278434573243,0.641686077552684,0.26227356821219794,0.4074812156318882,0.31639901800393844,0.6929634952736997,0.6671326777398878,0.5208662509078759,0.5741156841888644,0.31027569744949396
77,0.7177196387573122,0.48786304622361915,0.046502542400078006,0.13383230227605722,0.5990752282621362,0.32127012414468775,0.9174843341977068,0.6806634262581399,0.20737862161905044,0.33526664746319995,0.825859678862292,0.13206117515213914,0.6048162238554081,0.5975008889656087,0.7430463746690376
78,0.9467360652105762,0.3603512319023101,0.865186014345788,0.36919220513285295,0.8812320347490771,0.46521548883388986,0.32102758660498143,0.8294966413140503,0.29866032656618074,0.8487358788705133,0.21588321494346593,0.09196940978830119,0.9107270536705139,0.6518206265715638,0.2714517522481369
79,0.02795479491061757,0.6641854057371407,0.18479471944311474,0.9611432584989212,0.43891100742821015,0.8902760203162907,0.710101457330612,0.8558530824956107,0.5538179561428982,0.8348222373360138,0.21881752835539334,0.31415116245800206,0.43863393707651493,0.9348182518300221,0.44142919852125506
80,0.6703718743945132,0.5460597124661061,0.21148714719810335,0.9805783337626532,0.08681710386394655,0.7262552624819304,0.02593408714394275,0.08623344549900663,0.3854807118244186,0.43127425763322214,0.8235700023105963,0.4932443167533398,0.7606298043578882,0.8191642448000165,0.15349408742468248
81,0.47845723101889376,0.5410300646587834,0.5381031911462877,0.6626020127617992,0.980728355696976,0.3909447002305474,0.5798452794306184,0.7778063616709923,0.5327444748376051,0.4396957263521788,0.4302159338057649,0.4650014879393569,0.4244054077569383,0.6784688488527156,0.639247328529596
82,0.21158650949296134,0.254674309928643,0.9800848132153652,0.5622688184381367,0.817148244582067,0.07284068165940777,0.4717466387239346,0.9409330798604567,0.11724397769966134,0.07653328379029155,0.7669995723457265,0.13463072789779762,0.018912073757372933,0.5404542249385812,0.8012737810416644
83,0.9653239449078919,0.7978977164145427,0.15860025210814654,0.26893131837612405,0.4377824824709657,0.8231991378912803,0.8212110845584862,0.20507529971175775,0.9304430587023572,0.6127826779076218,0.7652022407238485,0.1786809923760865,0.6962112423147797,0.9500903817681658,0.13227176532583323
84,0.23900742801107175,0.3475351201357809,0.24753499722846334,0.25404756525960326,0.27210931437829355,0.2523756959330126,0.7075863154391209,0.8804496164941272,0.45931298778208196,0.005050978786146085,0.9012483211522323,0.418103764882546,0.3551377598234219,2.0471526488565322e-08,0.667102206463171
85,0.9102401692448222,0.889668516012576,0.09732579447762621,0.4666563148771724,0.35676628030142027,0.963939924775715,0.8175832035573167,0.33149042793129124,0.9079532504213289,0.978458945524787,0.23180164164831235,0.5655949912130797,0.40739739667897024,0.26983431869263763,0.052086226174208966
86,0.29945593548634697,0.8502365788517688,0.6158856568359472,0.8623202325039981,0.8994023201579564,0.5030507664399956,0.03193726443430389,0.3251800534870772,0.7821896510842441,0.5239244373891694,0.5494261791663271,0.43331760689338167,0.4784949498581941,0.6932927509994354,0.897031051734801
