source_injection_id,batch,post_jit_sampling_seconds,sample_call_seconds,total_seconds
33,source20-34,43.1234787479043,65.29871900007129,71.64492393657565
34,source20-34,45.63778979331255,67.62960179150105,74.0880078189075
35,source35-49,50.995275765657425,113.6182475425303,159.16621896624565
36,source35-49,43.85825399309397,65.6384116075933,71.8207364268601
37,source35-49,44.70478390529752,66.55797422677279,72.8220786973834
38,source35-49,40.953660640865564,62.47528633847833,68.83531472831964
39,source35-49,41.31570617482066,62.84248301014304,69.14398947358131
40,source35-49,50.764313131570816,72.10656816884875,78.77323254197836
41,source35-49,53.207904770970345,74.58718670532107,81.78902297094464
42,source35-49,47.16699544712901,69.07317160442472,75.81916482746601
43,source35-49,50.562663808465004,72.15510492399335,78.914790276438
44,source35-49,36.40492384135723,57.787353962659836,64.18435660004616
45,source35-49,52.079137459397316,73.31009133905172,79.97546546906233
46,source35-49,41.15065857023001,62.45048560574651,68.97477074339986
47,source35-49,44.33322187513113,65.97009124979377,72.58537850156426
48,source35-49,59.74346639588475,81.20194618031383,88.33666347712278
49,source35-49,45.76182420179248,67.1680295728147,74.37707995250821
50,source50-64,49.88094675913453,106.4672164581716,147.55494728311896
51,source50-64,45.61641760542989,66.93595495447516,72.48678815737367
52,source50-64,49.131661336869,70.56476069241762,76.11413986608386
53,source50-64,43.46817376092076,64.90804937109351,70.32707150653005
54,source50-64,48.682425659149885,69.85124790295959,75.34935645386577
55,source50-64,44.665554501116276,65.95595718175173,71.67093421518803
56,source50-64,41.979685343801975,63.21917378902435,68.9941767193377
57,source50-64,49.709527645260096,71.54983833432198,77.32135388627648
58,source50-64,37.98141983151436,59.06390946730971,64.72711007669568
59,source50-64,40.088471837341785,62.02132934704423,67.68681114166975
60,source50-64,45.31133018806577,66.62599544227123,69.74138996005058
61,source50-64,44.06215011328459,65.79586164280772,71.74494617432356
62,source50-64,46.41709664836526,68.09619158878922,74.12477685883641
63,source50-64,36.96237762644887,58.20355777442455,63.983311634510756
64,source50-64,41.58849101886153,62.70818902552128,68.49518850445747
65,source65-79,50.09338179603219,112.8405551686883,156.7644455358386
66,source65-79,46.1126945912838,67.15323927998543,73.3967785872519
67,source65-79,43.755184046924114,65.22942552343011,71.26724167913198
68,source65-79,38.83344803377986,60.50499986112118,66.65943766385317
69,source65-79,44.121891632676125,65.25026223063469,71.63704966008663
70,source65-79,52.708486296236515,74.25603240355849,81.16884868592024
71,source65-79,42.374648086726665,63.71338493004441,70.06742953509092
72,source65-79,54.30124133825302,75.8767989911139,82.52841234579682
73,source65-79,46.062915820628405,67.69312102347612,74.16616300493479
74,source65-79,44.47154363244772,66.35538704320788,72.91542306542397
75,source65-79,35.50101399421692,56.285141080617905,62.780825175344944
76,source65-79,50.42780739068985,72.08358784019947,78.87478547170758
77,source65-79,53.48032244294882,75.12252015992999,81.90456523746252
78,source65-79,43.38778365030885,64.95760761201382,71.59577943757176
79,source65-79,40.46595948189497,62.49956528097391,69.05401572585106
80,source80-89,61.83213419467211,125.03448611497879,168.7939809858799
81,source80-89,47.839025001972914,69.47365028783679,75.94055901840329
82,source80-89,37.8532805852592,58.93576953932643,65.56576322764158
83,source80-89,47.47505323961377,68.70888291299343,74.98161851614714
84,source80-89,44.120069179683924,65.78177962824702,72.03656589239836
85,source80-89,41.547066770493984,63.0171162635088,70.54899849742651
86,source80-89,39.46754940599203,61.06780369207263,67.84583906829357
87,source80-89,49.690611466765404,70.93461360037327,79.79732409119606
88,source80-89,39.85888686031103,61.19923419877887,68.50465364009142
